pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0034837,Mercedes-Benz Stadium,6,4,0.4782608695652174,0.5217391304347826,4.3,rec_yards,C.Ridley,WR,TEN,2025
00-0038705,State Farm Stadium,11,6,0.4230769230769231,0.4665012406947891,4.3,rush_yards,E.Demercado,RB,ARI,2025
00-0035500,State Farm Stadium,18,7,0.2972972972972973,0.34068278805120916,4.3,rec_yards,G.Dortch,WR,ARI,2025
00-0038589,Nissan Stadium,8,5,0.47368421052631576,0.5169172932330827,4.3,rec_yards,J.Whyle,TE,GB,2025
00-0031585,Mercedes-Benz Stadium,6,4,0.48,0.5230769230769231,4.3,rec_yards,M.Pruitt,TE,PIT,2024
00-0036389,Lincoln Financial Field,36,18,0.43243243243243246,0.47586872586872586,4.3,pass_yards,J.Hurts,QB,PHI,2025
00-0033110,Levi's Stadium,4,3,0.4909090909090909,0.5340909090909091,4.3,rec_yards,T.Higbee,TE,LA,2025
00-0026143,Mercedes-Benz Stadium,12,6,0.3888888888888889,0.4305555555555556,4.2,pass_yards,M.Ryan,QB,IND,2022
00-0037382,Empower Field at Mile High,4,3,0.5,0.5416666666666666,4.2,rec_yards,B.Johnson,WR,PIT,2024
00-0031941,MetLife Stadium,10,5,0.375,0.4166666666666667,4.2,rec_yards,J.Crowder,WR,WAS,2024
00-0031690,Empower Field at Mile High,4,3,0.5,0.5416666666666666,4.2,rec_yards,E.Tomlinson,TE,LAC,2024
00-0037086,Lincoln Financial Field,8,4,0.35294117647058826,0.3949579831932773,4.2,rec_yards,G.Calcaterra,TE,PHI,2025
00-0039917,Mercedes-Benz Stadium,4,3,0.5,0.5416666666666666,4.2,pass_yards,M.Penix,QB,ATL,2025
00-0031544,AT&T Stadium,13,8,0.5081967213114754,0.5504222553402882,4.2,rec_yards,A.Cooper,WR,BUF,2024
00-0036555,Mercedes-Benz Superdome,4,3,0.5,0.5416666666666666,4.2,rush_yards,C.Hubbard,RB,CAR,2025
00-0029263,Empower Field at Mile High,10,6,0.4745762711864407,0.5163841807909605,4.2,pass_yards,R.Wilson,QB,NYG,2025
00-0038685,Lambeau Field,10,6,0.47368421052631576,0.5157894736842105,4.2,rush_yards,C.Brooks,RB,GB,2025
00-0033119,State Farm Stadium,5,3,0.3902439024390244,0.4321951219512195,4.2,pass_yards,J.Brissett,QB,ARI,2025
00-0033119,FirstEnergy Stadium,5,3,0.3902439024390244,0.4321951219512195,4.2,pass_yards,J.Brissett,QB,ARI,2025
00-0035640,SoFi Stadium,7,4,0.41025641025641024,0.4520417853751187,4.2,rec_yards,D.Metcalf,WR,PIT,2025
00-0035639,Lucas Oil Stadium,8,5,0.4782608695652174,0.5201863354037267,4.2,rec_yards,P.Campbell,WR,PHI,2024
00-0034613,Paycor Stadium,9,5,0.4230769230769231,0.46419098143236076,4.1,rec_yards,T.Hudson,TE,CIN,2025
00-0036407,SoFi Stadium,4,3,0.5068493150684932,0.5473744292237442,4.1,rec_yards,J.Jeudy,WR,CLE,2025
00-0034830,Mercedes-Benz Stadium,10,6,0.47619047619047616,0.5174603174603175,4.1,rec_yards,H.Hurst,TE,LAC,2024
00-0035594,Lumen Field,10,6,0.47619047619047616,0.5174603174603175,4.1,rush_yards,T.Homer,RB,CHI,2025
00-0036355,Empower Field at Mile High,4,3,0.5064935064935064,0.547077922077922,4.1,pass_yards,J.Herbert,QB,LAC,2025
00-0032972,MetLife Stadium,7,5,0.56,0.6000000000000001,4.0,rush_yards,D.Booker,RB,NYG,2021
00-0033879,NRG Stadium,5,3,0.4,0.44,4.0,rec_yards,O.Howard,TE,HOU,2022
00-0033288,Lumen Field,4,3,0.5081967213114754,0.5484972677595629,4.0,rec_yards,G.Kittle,TE,SF,2025
00-0031544,FedExField,4,3,0.5081967213114754,0.5484972677595629,4.0,rec_yards,A.Cooper,WR,BUF,2024
